t_sec,iter,Fx_1,Fy_1,Fz_1,Mx_1,My_1,Mz_1
0.214857,273,0.244,-0.092,1.656,-0.00128,-0.00523,0.0002
0.215585,274,0.244,-0.092,1.656,-0.00128,-0.00523,0.0002
0.21632,275,0.24,-0.109,1.676,-0.00135,-0.00527,-0.00023
0.217051,276,0.234,-0.109,1.634,-0.00129,-0.0053,-0.00067
0.217791,277,0.239,-0.116,1.641,-0.00122,-0.0053,9e-05
0.218527,278,0.239,-0.116,1.641,-0.00122,-0.0053,9e-05
0.219276,279,0.249,-0.085,1.653,-0.00129,-0.00509,-0.00052
0.220003,280,0.233,-0.097,1.628,-0.0013,-0.00531,-0.00063
0.220751,281,0.245,-0.098,1.639,-0.00132,-0.00525,-0.00088
0.22148,282,0.245,-0.098,1.639,-0.00132,-0.00525,-0.00088
0.222221,283,0.232,-0.101,1.637,-0.0013,-0.00533,-0.00017
0.222959,284,0.24,-0.093,1.639,-0.00137,-0.00522,-0.00017
0.223697,285,0.247,-0.097,1.637,-0.00138,-0.00532,-0.00013
0.224439,286,0.247,-0.097,1.637,-0.00138,-0.00532,-0.00013
0.225177,287,0.236,-0.106,1.623,-0.0012,-0.00521,-2e-05
0.225918,288,0.239,-0.088,1.668,-0.00142,-0.00521,-0.00092
0.226681,289,0.236,-0.081,1.664,-0.00137,-0.00524,-0.00029
0.227626,290,0.236,-0.081,1.664,-0.00137,-0.00524,-0.00029
0.228414,291,0.219,-0.091,1.662,-0.00132,-0.00519,-0.00041
0.229342,292,0.235,-0.087,1.639,-0.00138,-0.00531,-0.00024
0.230156,293,0.221,-0.093,1.638,-0.00134,-0.00524,-0.00027
0.231099,294,0.232,-0.094,1.626,-0.00131,-0.0053,-0.0008
0.232066,295,0.244,-0.088,1.637,-0.00134,-0.0052,-0.00062
0.232787,296,0.241,-0.083,1.669,-0.0014,-0.00521,0.00012
0.233518,297,0.241,-0.083,1.669,-0.0014,-0.00521,0.00012
0.234245,298,0.239,-0.086,1.671,-0.00141,-0.00523,-6e-05
0.235225,299,0.237,-0.074,1.626,-0.00136,-0.00524,-0.00091
0.236206,300,0.248,-0.101,1.647,-0.00139,-0.00521,-0.00041
0.237193,301,0.024402,-0.026123,-0.817744,-0.001545,5.3e-05,0.000315
0.237921,302,0.024402,-0.000123,-0.794744,-0.001585,1.3e-05,0.000435
0.238654,303,0.008402,0.032877,-0.801744,-0.001665,-1.7e-05,0.000775
0.239401,304,0.008402,0.032877,-0.801744,-0.001665,-1.7e-05,0.000775
0.240144,305,0.004402,0.027877,-0.773744,-0.001525,-8.7e-05,9.5e-05
0.240873,306,0.006402,0.006877,-0.779744,-0.001565,2.3e-05,0.000995
0.241599,307,0.006402,0.006877,-0.779744,-0.001565,2.3e-05,0.000995
0.242329,308,0.018402,-0.006123,-0.777744,-0.001575,2.3e-05,0.000575
0.243064,309,0.018402,0.006877,-0.810744,-0.001425,2.3e-05,0.000425
0.243786,310,0.014402,0.010877,-0.806744,-0.001365,-4.7e-05,0.000515
0.244524,311,0.014402,0.010877,-0.806744,-0.001365,-4.7e-05,0.000515
0.245297,312,0.016402,-0.007123,-0.777744,-0.001525,-5.7e-05,0.000625
0.246225,313,0.017402,0.006877,-0.769744,-0.001555,9.3e-05,0.000315
0.246936,314,0.002402,0.028877,-0.766744,-0.001455,6.3e-05,0.000135
0.24767,315,0.000402,0.028877,-0.844744,-0.001645,0.000103,0.000715
0.248405,316,0.000402,0.028877,-0.844744,-0.001645,0.000103,0.000715
0.249142,317,-0.000598,0.018877,-0.792744,-0.001655,7.3e-05,0.000315
0.249908,318,-0.006598,0.016877,-0.752744,-0.001575,8.3e-05,0.000355
0.250622,319,0.001402,0.002877,-0.821744,-0.001405,3.3e-05,0.000325
0.251351,320,0.001402,0.002877,-0.821744,-0.001405,3.3e-05,0.000325
0.25209,321,0.006402,0.010877,-0.805744,-0.001605,7.3e-05,0.001175
0.252818,322,0.009402,0.011877,-0.799744,-0.001615,-6.7e-05,0.000615
0.253557,323,0.009402,0.011877,-0.799744,-0.001615,-6.7e-05,0.000615
0.254286,324,0.030402,0.021877,-0.798744,-0.001575,0.000163,0.000465
0.255023,325,0.011402,0.005877,-0.804744,-0.001445,-2.7e-05,0.000155
0.255757,326,0.016402,0.004877,-0.757744,-0.001475,4.3e-05,0.000785
0.256491,327,0.016402,0.004877,-0.757744,-0.001475,4.3e-05,0.000785
0.257222,328,0.019402,0.020877,-0.769744,-0.001495,0.000173,0.000565
0.257965,329,0.002402,0.017877,-0.801744,-0.001445,7.3e-05,0.000665
0.258698,330,0.000402,0.006877,-0.827744,-0.001445,-4.7e-05,-4.5e-05
0.259437,331,0.000402,0.006877,-0.827744,-0.001445,-4.7e-05,-4.5e-05
0.260173,332,-0.009598,0.018877,-0.813744,-0.001495,-1.7e-05,0.000645
0.260908,333,0.003402,0.008877,-0.807744,-0.001405,-8.7e-05,0.000305
0.261391,334,0.003402,0.008877,-0.807744,-0.001405,-8.7e-05,0.000305
0.262128,335,0.006402,0.023877,-0.789744,-0.001595,-1.7e-05,0.000475
0.26286,336,0.004402,0.004877,-0.814744,-0.001425,4.3e-05,9.5e-05
0.263602,337,0.004402,0.004877,-0.814744,-0.001425,4.3e-05,9.5e-05
0.264336,338,0.016402,0.001877,-0.818744,-0.001475,0.000153,0.000635
0.265098,339,-0.001598,0.007877,-0.806744,-0.001525,0.000103,0.000525
0.265805,340,0.007402,0.016877,-0.803744,-0.001605,0.000143,0.000235
0.266541,341,0.007402,0.016877,-0.803744,-0.001605,0.000143,0.000235
0.267271,342,0.010402,0.027877,-0.787744,-0.001525,0.000153,0.000665
0.268003,343,0.003402,0.020877,-0.768744,-0.001615,8.3e-05,5.5e-05
0.268737,344,0.000402,0.011877,-0.815744,-0.001625,6.3e-05,-5.5e-05
0.269475,345,0.000402,0.011877,-0.815744,-0.001625,6.3e-05,-5.5e-05
0.27022,346,-0.006598,0.029877,-0.822744,-0.001585,0.000123,-2.5e-05
0.270945,347,0.009402,0.022877,-0.814744,-0.001475,0.000143,0.000905
0.271743,348,0.013402,0.030877,-0.826744,-0.001665,1.3e-05,0.000405
0.272449,349,0.013402,0.030877,-0.826744,-0.001665,1.3e-05,0.000405
0.273181,350,0.016402,0.002877,-0.826744,-0.001455,2.3e-05,0.000625
0.273918,351,0.010402,0.005877,-0.797744,-0.001505,1.3e-05,0.000305
0.274654,352,0.018402,0.017877,-0.832744,-0.001565,0.000123,0.000835
0.275395,353,0.018402,0.017877,-0.832744,-0.001565,0.000123,0.000835
0.276136,354,-0.002598,0.027877,-0.845744,-0.001685,1.3e-05,0.000365
0.276879,355,0.024402,0.020877,-0.839744,-0.001695,7.3e-05,0.000465
0.277606,356,0.024402,0.020877,-0.839744,-0.001695,7.3e-05,0.000465
0.278344,357,-0.001598,0.037877,-0.817744,-0.001645,-4.7e-05,0.000645
0.279078,358,0.008402,-0.001123,-0.833744,-0.001545,-5.7e-05,0.000475
0.279828,359,-0.003598,0.011877,-0.824744,-0.001415,-0.000127,0.000225
